@N: MF248 |Running in 64-bit mode.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahblite\5.2.100\rtl\vhdl\core\coreahblite_slavearbiter.vhd":398:8:398:9|Removing sequential instance arbRegSMCurrentState[0:15] (in view: coreahblite_lib.COREAHBLITE_SLAVEARBITER_15(coreahblite_slavearbiter_arch)) of type view:PrimLib.statemachine(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahblite\5.2.100\rtl\vhdl\core\coreahblite_slavearbiter.vhd":398:8:398:9|Removing sequential instance arbRegSMCurrentState[0:15] (in view: coreahblite_lib.COREAHBLITE_SLAVEARBITER_16(coreahblite_slavearbiter_arch)) of type view:PrimLib.statemachine(prim) because it does not drive other instances.
@N: BN225 |Writing default property annotation file G:\omsai\intern_ezusbcard\M1_ExtRam\synthesis\gagRetTopMod.sap.
@N: MO225 :"g:\omsai\intern_ezusbcard\m1_extram\hdl\brmpc.vhd":1439:2:1439:3|There are no possible illegal states for state machine INTSTATE[0:3] (in view: work.BRMPC(rtl)); safe FSM implementation is not required.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[12] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[13] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[14] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[15] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[16] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[17] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[18] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[19] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[20] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[21] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[22] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbtoapb3\2.0.116\rtl\vhdl\core_obfuscated\apbaddrdata.vhd":36:0:36:1|Removing sequential instance CAHBtoAPB3oli[23] (in view: coreahbtoapb3_lib.CAHBTOAPB3ioi(cahbtoapb3lol)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\component\actel\directcore\coreahbsram\1.3.103\rtl\vhdl\u\ahbwrapper_sram.vhd":117:8:117:9|Removing sequential instance currAhbSize[2] (in view: work.AhbWrapper_SRAM(structural)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\hdl\brmbend.vhd":177:2:177:3|Removing sequential instance MEMADDR[10] (in view: work.BRMbend(rtl)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\hdl\brmbend.vhd":177:2:177:3|Removing sequential instance MEMADDR[11] (in view: work.BRMbend(rtl)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\hdl\brmbend.vhd":177:2:177:3|Removing sequential instance MEMADDR[12] (in view: work.BRMbend(rtl)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\hdl\brmbend.vhd":177:2:177:3|Removing sequential instance MEMADDR[13] (in view: work.BRMbend(rtl)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\hdl\brmbend.vhd":177:2:177:3|Removing sequential instance MEMADDR[14] (in view: work.BRMbend(rtl)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"g:\omsai\intern_ezusbcard\m1_extram\hdl\brmbend.vhd":177:2:177:3|Removing sequential instance MEMADDR[15] (in view: work.BRMbend(rtl)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
